id,brand,model,name,category,subcategory,confidenceScore,screenSize,resolution,panelType,refreshRate,hdr,hdrFormats,brightness,contrastRatio,platform,os,processor,voiceAssistants,wifi,bluetooth,hdmiPorts,hdmiSpec,usbPorts,ethernet,casting,audioOutput,audioTech,priceMin,priceMax,priceTypical,warranty,productRole,marginBehavior,discountSensitivity,bundleEligibility,bundleRole,competitivePosition,seasonalRelevance,targetAudience,sellingAngles,hooks,benefits_dz,ramadanAngle,comparisons,alternatives,upgradeFrom,upgradeTo
A32S1,ARTCOOL,A32S1,ARTCOOL 32" Smart VIDAA TV,TV,Smart TV,72,32,HD Ready,LED,60Hz,false,,200 cd/m²,3000:1,VIDAA,VIDAA,,,true,true,2,,2,false,,10W,DTS Virtual:X,,,,,entry,unknown,high,true,anchor,price-leader,ramadan;year-round,budget-buyers;families,Affordable smart TV with VIDAA;Compact 32-inch for bedrooms,Smart TV starting price!,تلفزيون سمارت بسعر مناسب;فيه كلش: يوتيوب، نتفليكس;حجم مناسب للغرفة,Perfect second screen for Ramadan content,A43S1:upgrade,S32MS:same-size Android TV;MS32HAS1:same-size Android TV,,A43S1
A43S1,ARTCOOL,A43S1,ARTCOOL 43" Smart VIDAA TV,TV,Smart TV,74,43,Full HD,LED,60Hz,true,HDR10,250 cd/m²,4000:1,VIDAA,VIDAA,,,true,true,3,,2,true,Screen Sharing,16W,Dolby Audio,,,,,core,unknown,medium,true,anchor,value-sweet-spot,ramadan;year-round,families,43-inch HDR for families;Great value mid-range,Family TV with HDR — unbeatable!,شاشة كبيرة للعايلة;HDR10 ألوان حية;سعر ممتاز,Family upgrade for Ramadan,A50S1:upgrade,MS43FAT1:Multismart Android 43";S5400A:TCL Google TV 43",A32S1,A50S1
A50S1,ARTCOOL,A50S1,ARTCOOL 50" 4K VIDAA TV,TV,Smart TV,76,50,4K UHD,LED,60Hz,true,HDR10;Dolby Vision;HLG,300 cd/m²,5000:1,VIDAA,VIDAA,,,true,true,3,,2,true,Screen Sharing,20W,Dolby Audio;DTS Virtual:X,,,,,core,unknown,medium,true,anchor,value-sweet-spot,ramadan;year-round,families;premium-seekers,50-inch 4K Dolby Vision;Flagship ARTCOOL at mid-range price,4K Dolby Vision at ARTCOOL price!,4K UHD صورة خيالية;Dolby Vision ألوان سينمائية;50 بوصة بسعر معقول,4K viewing for Ramadan series,A55S1:upgrade;A43S1:downgrade,UA50AU7000:Samsung Crystal 50";MS50UAT:Multismart WebOS 50",A43S1,A55S1
A55S1,ARTCOOL,A55S1,ARTCOOL 55" 4K Dolby Vision TV,TV,Smart TV,78,55,4K UHD,LED,60Hz,true,HDR10;Dolby Vision;HLG,350 cd/m²,5000:1,VIDAA,VIDAA,,,true,true,3,,2,true,Screen Sharing,24W,Dolby Audio;DTS Virtual:X;Dolby Atmos,,,,,premium,unknown,low,true,anchor,value-sweet-spot,ramadan,premium-seekers;cinephiles,55-inch 4K Dolby Vision + Atmos;Best value premium,Cinema experience at home — ARTCOOL 55"!,55 بوصة سينما فدارك;Dolby Atmos صوت محيطي;أفضل نسبة جودة/سعر,Perfect cinema screen for Ramadan,A65S1:upgrade;A50S1:downgrade,55AU7000:Samsung Crystal 55";55P635:TCL Google TV 55",A50S1,A65S1
A65S1,ARTCOOL,A65S1,ARTCOOL 65" 4K VIDAA TV,TV,Smart TV,75,65,4K UHD,QLED,60Hz,true,HDR10;Dolby Vision;HLG,400 cd/m²,6000:1,VIDAA,VIDAA,,,true,true,3,,2,true,Screen Sharing,30W,Dolby Audio;DTS Virtual:X;Dolby Atmos,,,,,premium,high-margin,low,true,anchor,value-sweet-spot,ramadan,premium-seekers;cinephiles,65-inch QLED flagship;Dolby Vision + Atmos at local price,65" QLED — local brand. global quality!,65 بوصة QLED — تجربة سينمائية;Dolby Vision + Atmos;سعر محلي جودة عالمية,The ultimate Ramadan family screen,A55S1:downgrade,MS65UAG3:Multismart 65" Google TV;MS-65UAS2:Multismart 65" Android,A55S1,
40SG630,Condor,40SG630,Condor 40" Google TV,TV,Smart TV,68,40,Full HD,LED,60Hz,false,,250 cd/m²,3000:1,Google TV,Google TV,,,true,true,2,,1,true,Chromecast,16W,Stereo,,,,,core,standard,medium,true,anchor,value-sweet-spot,ramadan;year-round,families;budget-buyers,40-inch Google TV local;Chromecast built-in,Google TV at Condor price — waaah!,سمارت بالغوغل;Chromecast مدمج;سعر كوندور معقول,Condor Google TV for Ramadan viewing,,,32C3010;43E30,
S32MS,Cristor,S32MS,Cristor 32" Android TV,TV,Smart TV,60,32,HD Ready,LED,60Hz,false,,200 cd/m²,3000:1,Android 11,Android 11,,,true,true,2,,1,false,Chromecast,10W,Stereo,,,,,entry,unknown,high,true,anchor,price-leader,year-round,budget-buyers,Budget Android TV 32";Google Play access,Android TV at Cristor price!,أندرويد بسعر كريستور;Google Play فيه كلش;32 بوصة اقتصادية,,MS32HAS1:same-tier,A32S1:ARTCOOL VIDAA 32",, MS32HAS1
GN-32LDJHD-N,Geant,GN-32LDJHD-N,Geant 32" LED HD TV,TV,LED TV,60,32,HD Ready,LED,60Hz,false,,200 cd/m²,3000:1,,,,,false,false,2,,1,false,,10W,Stereo,,,,,entry,volume-play,high,false,,price-leader,year-round,budget-buyers,Cheapest 32-inch Geant;Simple LED,Budget 32" LED — Geant reliability!,أرخص تلفزيون 32 بوصة;بسيط وموثوق;ماركة جيون معروفة,,,,, MS32HAS1;32E30
GN-TE42FHD,Geant,GN-TE42FHD,Geant 42" LED FHD TV,TV,LED TV,62,42,Full HD,LED,60Hz,false,,250 cd/m²,3000:1,,,,,false,false,2,,1,false,,16W,Stereo,,,,,entry,volume-play,high,false,,price-leader,year-round,budget-buyers;families,42-inch Full HD budget;Geant reliability,Big Full HD — Geant budget style!,شاشة كبيرة بسعر صغير;Full HD واضح;جيون للعايلة,,,,GN-32LDJHD-N,GN-G43EXL4K
GN-G43EXL4K,Geant,GN-G43EXL4K,Geant 43" 4K Google TV,TV,Smart TV,70,43,4K UHD,LED,60Hz,true,HDR10,300 cd/m²,5000:1,Google TV,Google TV,,,true,true,3,,2,true,Chromecast,20W,Dolby Audio,,,,,core,standard,medium,true,anchor,value-sweet-spot,ramadan;year-round,families,43" 4K Google TV from Geant;Local brand 4K smart,4K Google TV — Geant quality!,4K بسعر جيون;Google TV واجهة سهلة;HDR10 ألوان حية,4K Google TV for Ramadan families,GN-G50EXL4K:upgrade,A43S1:ARTCOOL VIDAA 43";S5400A:TCL Google TV 43",GN-TE42FHD,GN-G50EXL4K
